2024-04-08 19:03:14+00:00, Sun Elevation: 56.98037740785095, Sun Azimuth: 209.56954269560956,,,
2024-04-08 19:03:15+00:00, Sun Elevation: 56.978747606077626, Sun Azimuth: 209.57650610628863,,,
2024-04-08 19:03:16+00:00, Sun Elevation: 56.97711752035353, Sun Azimuth: 209.58346865558912,,,
2024-04-08 19:03:17+00:00, Sun Elevation: 56.975487084225335, Sun Azimuth: 209.59043062444388,,,
2024-04-08 19:03:18+00:00, Sun Elevation: 56.97385629887478, Sun Azimuth: 209.5973920112337,,,
2024-04-08 19:03:19+00:00, Sun Elevation: 56.972225163189776, Sun Azimuth: 209.60435281846753,,,
2024-04-08 19:03:20+00:00, Sun Elevation: 56.97059367791752, Sun Azimuth: 209.6113130439625,,,
2024-04-08 19:03:21+00:00, Sun Elevation: 56.96896184292343, Sun Azimuth: 209.61827268846852,,,
2024-04-08 19:03:22+00:00, Sun Elevation: 56.96732959226385, Sun Azimuth: 209.62523203250822,,,
2024-04-08 19:03:23+00:00, Sun Elevation: 56.96569705779945, Sun Azimuth: 209.63219051566097,,,
2024-04-08 19:03:24+00:00, Sun Elevation: 56.964064173959926, Sun Azimuth: 209.63914841693025,,,
2024-04-08 19:03:25+00:00, Sun Elevation: 56.962430940943136, Sun Azimuth: 209.6461057364685,,,
2024-04-08 19:03:26+00:00, Sun Elevation: 56.960797358146394, Sun Azimuth: 209.6530624754178,,,
2024-04-08 19:03:27+00:00, Sun Elevation: 56.959163425769894, Sun Azimuth: 209.66001863392563,,,
2024-04-08 19:03:28+00:00, Sun Elevation: 56.95752914423173, Sun Azimuth: 209.66697421040396,,,
2024-04-08 19:03:29+00:00, Sun Elevation: 56.95589444729885, Sun Azimuth: 209.67392948600258,,,
2024-04-08 19:03:30+00:00, Sun Elevation: 56.9542595333321, Sun Azimuth: 209.68088361946218,,,
2024-04-08 19:03:31+00:00, Sun Elevation: 56.95262413776648, Sun Azimuth: 209.68783773310125,,,
2024-04-08 19:03:32+00:00, Sun Elevation: 56.95098845969249, Sun Azimuth: 209.69479098360188,,,
2024-04-08 19:03:33+00:00, Sun Elevation: 56.94935243221944, Sun Azimuth: 209.7017436532444,,,
2024-04-08 19:03:34+00:00, Sun Elevation: 56.94771605571518, Sun Azimuth: 209.70869574142844,,,
2024-04-08 19:03:35+00:00, Sun Elevation: 56.946079330061444, Sun Azimuth: 209.71564724887327,,,
2024-04-08 19:03:36+00:00, Sun Elevation: 56.9444421894685, Sun Azimuth: 209.72259845424892,,,
2024-04-08 19:03:37+00:00, Sun Elevation: 56.94280483241335, Sun Azimuth: 209.729548517559,,,
2024-04-08 19:03:38+00:00, Sun Elevation: 56.94116699393409, Sun Azimuth: 209.73649856046927,,,
2024-04-08 19:03:39+00:00, Sun Elevation: 56.939528873422695, Sun Azimuth: 209.7434477401473,,,
2024-04-08 19:03:40+00:00, Sun Elevation: 56.93789040387883, Sun Azimuth: 209.7503963387267,,,
2024-04-08 19:03:41+00:00, Sun Elevation: 56.93625158568237, Sun Azimuth: 209.75734435558692,,,
2024-04-08 19:03:42+00:00, Sun Elevation: 56.93461241870689, Sun Azimuth: 209.7642917914613,,,
2024-04-08 19:03:43+00:00, Sun Elevation: 56.93297290336905, Sun Azimuth: 209.77123864476926,,,
2024-04-08 19:03:44+00:00, Sun Elevation: 56.931333039541194, Sun Azimuth: 209.77818491624666,,,
2024-04-08 19:03:45+00:00, Sun Elevation: 56.92969276094436, Sun Azimuth: 209.78513088589838,,,
2024-04-08 19:03:46+00:00, Sun Elevation: 56.92805220042409, Sun Azimuth: 209.79207599377852,,,
2024-04-08 19:03:47+00:00, Sun Elevation: 56.92641129109898, Sun Azimuth: 209.7990205201235,,,
